siblings,height07,height16,height33,gwage33,momed,daded,LogWage33,female
4,49.015743,,71.259842,12.631579,,,2.5362,0
,47.992119,63.779522,63.779526,9.5238094,12.5,13.5,2.2537949,1
4,47.992119,62.598392,70.866142,4.7916665,11.5,11.5,1.5668783,0
,47.992119,,64.960632,5.8800001,10.5,9.5,1.7715567,1
,,,72.834648,6.6666665,,,1.89712,0
4,47.992119,68.897636,70.866142,6,9.5,9.5,1.7917595,0
3,49.015743,64.173195,64.960632,6.5,12.5,19,1.8718022,1
2,49.999981,70.078728,72.047241,8.75,9.5,9.5,2.1690538,0
2,50.984219,67.716507,72.834648,9.090909,9.5,11.5,2.2072749,0
4,45.984222,62.992104,63.385826,3.8,10.5,10.5,1.3350011,1
,52.007839,68.110222,68.110237,11.752,15,17,2.4640234,1
4,49.015743,65.747993,69.291336,5.980392,,,1.7884861,0
7,44.999985,61.417301,62.204723,2.9189188,11.5,10.5,1.0712132,1
6,,64.960617,65.748032,4.8724999,9.5,9.5,1.5836072,1
4,47.992119,66.535416,70.078743,5.4166665,9.5,9.5,1.6894805,1
4,47.992119,,68.503937,4.1025643,,,1.4116123,0
3,49.015743,61.417301,63.385826,1.6216216,15,11.5,.48342663,1
2,49.015743,68.897636,70.472443,14,11.5,11.5,2.6390574,0
5,50.984219,70.866112,71.259842,6.4864864,9.5,10.5,1.8697211,0
2,54.015739,70.866112,73.228348,5.4000001,10.5,11.5,1.686399,0
,45.984222,61.417301,62.992126,6.5999999,,,1.8870696,1
,49.015743,69.68502,70.472443,14.4,15,19,2.6672282,0
,44.999985,,66.535431,6.0189476,9.5,9.5,1.7949125,0
,,,73.622047,11.666667,,,2.4567358,0
4,,64.173195,64.960632,8.9473686,12.5,12.5,2.1913595,1
3,,,69.685036,7.5,,,2.0149031,0
6,45.984222,64.566902,67.716537,7.2820511,10.5,9.5,1.9854126,0
4,47.007847,66.141708,66.929131,4.7435899,10.5,10.5,1.5567942,0
6,49.999981,64.566902,64.566933,3.72,9.5,9.5,1.3137237,1
3,50.984219,,67.716537,8.7226667,,,2.165925,1
3,49.999981,70.078728,71.259842,5.5285716,10.5,10.5,1.7099295,0
5,49.999981,68.897636,70.078743,11.333333,9.5,9.5,2.4277482,0
4,49.015743,,70.472443,7.5,,,2.0149031,0
3,49.015743,68.110222,71.259842,9.4285717,9.5,9.5,2.2437446,0
4,45.984222,,65.354332,4.3103447,,,1.4610178,0
,50.984219,,69.685036,6.5813951,9.5,9.5,1.8842467,0
3,47.992119,65.354324,65.354332,7.8947368,12.5,12.5,2.0661962,1
4,,64.960617,65.748032,8.1599998,,,2.0992441,1
3,47.007847,65.747993,69.685036,7.3684211,9.5,9.5,1.9972035,0
3,49.015743,66.929123,70.866142,12.837838,11.5,11.5,2.552397,0
5,47.007847,65.747993,71.259842,8.6400003,,,2.1564026,0
5,45.984222,67.716507,69.291336,9.2333336,9.5,9.5,2.22282,0
5,,62.598392,68.897636,7.1111112,10.5,11.5,1.9616585,0
,47.992119,,69.291336,6.0334883,10.5,9.5,1.7973254,0
3,49.015743,66.141708,68.503937,2.75,9.5,,1.011601,1
3,54.999973,70.472443,74.015747,9.7297297,9.5,11.5,2.2751861,0
5,47.992119,64.173195,70.472443,6,10.5,9.5,1.7917595,0
5,49.015743,64.173195,65.354332,3.2352941,9.5,9.5,1.1741198,1
3,45.984222,,64.960632,10.755,,,2.3753707,0
4,49.999981,68.503929,71.259842,6.3888888,9.5,9.5,1.8545604,0
4,52.992115,65.747993,66.141731,9.189189,10.5,10.5,2.2180276,1
4,49.015743,68.503929,69.291336,6.25,10.5,9.5,1.8325815,0
2,49.015743,69.291313,72.834648,4.5,,,1.5040774,0
5,49.999981,66.929123,68.110237,9.0568419,15,15,2.2035205,1
10,47.007847,61.417301,68.110237,5.5555553,,,1.7147983,0
5,44.999985,64.960617,66.535431,4.818182,,,1.5723966,0
3,47.992119,69.68502,70.472443,5.7567568,,,1.7503742,0
8,42.992088,63.385815,64.960632,1.4864864,,,.39641523,0
5,47.992119,67.3228,68.110237,6.3200002,,,1.8437192,0
5,49.015743,68.110222,70.078743,11.621622,11.5,9.5,2.4528673,0
7,44.015713,,58.661419,4.6666665,9.5,10.5,1.540445,1
8,47.007847,61.023594,68.503937,9.5,9.5,9.5,2.2512918,0
,,62.20472,64.566933,4.9846153,9.5,9.5,1.6063563,0
5,47.992119,62.992104,69.685036,5.04,9.5,9.5,1.6174061,0
4,47.992119,64.960617,66.141731,8.5263157,9.5,9.5,2.1431572,1
2,45.984222,64.173195,65.354332,8.5297298,9.5,9.5,2.1435578,0
4,47.007847,65.354324,66.929131,4.1025643,9.5,9.5,1.4116123,0
8,,59.842499,61.417324,6.0483871,9.5,9.5,1.7997916,1
,39.999992,,61.811024,4.0999999,,,1.4109869,0
6,49.015743,,64.173225,3.7837837,9.5,9.5,1.3307245,1
,47.992119,,66.535431,4.25,,,1.446919,0
3,49.015743,64.566902,67.716537,12.276363,9.5,9.5,2.5076756,1
2,,65.354324,66.535431,8.5714283,9.5,9.5,2.1484344,0
5,49.015743,66.929123,71.259842,5.5263157,9.5,9.5,1.7095213,0
,47.992119,61.811012,66.141731,20,9.5,9.5,2.9957323,0
,39.999992,65.354324,67.322838,11.314285,10.5,9.5,2.4260662,0
6,45.984222,62.20472,65.748032,6.7674417,9.5,9.5,1.9121231,0
3,44.999985,63.779522,63.779526,7.6444445,9.5,11.5,2.0339792,1
3,44.999985,62.992104,63.779526,11.318918,9.5,11.5,2.4264755,1
3,47.992119,62.992104,64.566933,8.2285719,10.5,11.5,2.1076124,1
4,49.999981,67.3228,68.897636,6.6071429,8.5,12.5,1.8881513,0
4,47.992119,68.110222,70.472443,7.4324327,11.5,11.5,2.0058532,0
,47.007847,60.629921,60.629921,12,17,19,2.4849067,1
,,70.078728,72.834648,5.1282053,9.5,9.5,1.6347557,0
5,50.984219,68.503929,70.866142,4.181818,9.5,9.5,1.4307461,0
,,,62.992126,3,9.5,9.5,1.0986123,1
3,47.992119,64.960617,66.141731,10.944445,9.5,9.5,2.392832,1
7,47.007847,60.629921,62.992126,5.1578946,,,1.6405284,1
,,,64.960632,4.9499998,,,1.5993875,1
,50.984219,,74.803146,4.8717947,,,1.5834624,0
3,49.015743,61.811012,65.748032,5,9.5,9.5,1.6094379,1
5,49.999981,,65.748032,5.1282053,11.5,11.5,1.6347557,1
,,,62.204723,5.7142859,,,1.7429693,1
3,52.992115,67.716507,68.897636,17.5,12.5,13.5,2.862201,0
2,52.007839,65.747993,67.322838,6.4864864,9.5,10.5,1.8697211,1
3,49.015743,64.960617,66.535431,10.690286,12.5,12.5,2.3693354,1
3,47.992119,,62.598427,2.53125,12.5,9.5,.92871326,1
3,47.992119,,62.598427,7.0571427,,,1.9540403,1
3,47.007847,,66.535431,6.2162161,,,1.8271614,1
4,49.999981,66.929123,70.866142,9.7368422,10.5,10.5,2.2759168,0
5,47.992119,66.141708,70.866142,12,15,15,2.4849067,0
,,,71.653542,8.3999996,9.5,9.5,2.1282318,0
,52.992115,66.141708,67.716537,5.6410255,10.5,9.5,1.7300659,1
,,,61.811024,4.6486487,,,1.5365766,1
3,52.007839,64.960617,66.535431,2.974359,9.5,10.5,1.0900285,1
4,47.007847,64.566902,65.748032,7.1944447,9.5,9.5,1.9733092,0
,49.999981,,64.566933,3.4857142,,,1.248673,1
5,45.984222,,64.566933,7.311111,,,1.9893953,0
3,49.015743,68.110222,70.472443,8,9.5,12.5,2.0794415,0
4,49.999981,63.779522,64.566933,5.3275676,9.5,9.5,1.6728947,1
6,44.999985,59.842499,61.023621,7.0571427,11.5,11.5,1.9540403,1
3,47.992119,60.629921,62.992126,4.189189,9.5,9.5,1.4325072,1
4,42.992088,54.724384,55.118111,5.1282053,10.5,10.5,1.6347557,1
3,45.984222,59.055119,61.417324,3.6857142,9.5,9.5,1.3044643,1
3,47.007847,64.173195,69.291336,3,9.5,9.5,1.0986123,0
5,47.992119,62.992104,67.716537,9.375,,,2.2380466,0
2,44.999985,,62.598427,6.6666665,9.5,9.5,1.89712,1
3,47.992119,62.598392,63.385826,8.4324322,11.5,9.5,2.1320853,1
2,,,63.385826,7.1220002,9.5,9.5,1.9631886,1
,49.999981,,70.078743,4.0740743,,,1.4046435,0
3,,67.3228,67.716537,7.6111112,9.5,9.5,2.0296092,0
9,47.007847,,67.716537,4.9729729,,,1.6040179,0
4,49.015743,61.023594,61.417324,6.2777777,9.5,9.5,1.837016,1
6,47.007847,,66.929131,5.5323076,9.5,9.5,1.710605,0
9,44.999985,62.992104,68.503937,5.3333335,9.5,9.5,1.6739764,0
4,47.992119,66.929123,68.503937,11.2,11.5,11.5,2.4159138,0
8,42.992088,61.811012,64.566933,6.5,9.5,9.5,1.8718022,0
5,50.984219,63.779522,64.960632,6.0526314,9.5,,1.8004931,1
10,49.015743,62.20472,69.291336,8.0555553,12.5,9.5,2.0863619,0
2,49.999981,65.747993,66.535431,6.9473686,9.5,10.5,1.938363,1
5,,66.929123,70.472443,9.25,10.5,10.5,2.2246234,0
3,47.992119,64.173195,64.960632,5.1827025,9.5,9.5,1.6453266,0
,52.007839,66.929123,71.653542,6.551724,10.5,10.5,1.8797282,0
,47.992119,68.897636,70.472443,2.6666667,9.5,9.5,.9808293,0
4,47.992119,64.566902,64.960632,6.336,9.5,9.5,1.8462477,1
5,49.015743,64.960617,65.748032,4.5044003,,,1.5050547,1
2,50.984219,68.110222,70.866142,7,9.5,9.5,1.9459101,0
4,49.999981,66.141708,66.929131,5.652174,11.5,,1.7320403,0
,,72.047241,72.440948,5,,,1.6094379,0
,47.007847,,70.078743,7.8857141,,,2.0650527,0
3,47.992119,,62.992126,11.333333,9.5,9.5,2.4277482,1
4,49.015743,,69.291336,8.0540543,10.5,10.5,2.0861757,0
2,47.007847,,67.322838,8.333333,,,2.1202636,0
4,49.999981,70.078728,74.409447,14,,,2.6390574,0
3,49.999981,65.354324,65.748032,11.95,9.5,9.5,2.4807312,1
4,50.984219,,69.685036,6.810811,,,1.9185112,0
5,50.984219,70.078728,74.015747,6.9499998,9.5,9.5,1.9387417,0
6,49.015743,,64.960632,11.285714,,,2.4235377,1
4,,67.716507,67.716537,6.818182,10.5,,1.9195929,0
13,44.015713,,65.354332,4,9.5,9.5,1.3862944,1
4,,69.291313,72.834648,5.7951221,10.5,10.5,1.7570165,0
3,47.007847,63.779522,64.960632,6.6666665,9.5,9.5,1.89712,1
5,42.992088,61.417301,63.385826,3.9189188,10.5,10.5,1.3658158,0
3,49.015743,62.992104,62.992126,12.666667,11.5,11.5,2.5389738,1
,,,70.472443,7.7837839,,,2.0520425,0
6,50.984219,68.897636,68.897636,7.2558141,9.5,9.5,1.9818031,0
2,47.992119,60.629921,62.204723,2.0999999,9.5,9.5,.74193728,1
8,42.992088,58.661407,61.811024,9.3658533,9.5,9.5,2.2370706,1
3,49.015743,65.747993,68.897636,5.3333335,9.5,9.5,1.6739764,0
,47.007847,66.141708,67.716537,6,9.5,9.5,1.7917595,0
4,44.999985,60.23621,60.629921,3.5135136,9.5,11.5,1.2566166,1
4,45.984222,61.417301,62.598427,12.432432,10.5,11.5,2.5203085,1
6,49.015743,,63.779526,4.6341462,,,1.533452,1
3,52.992115,,71.259842,9.7263155,,,2.2748351,0
3,49.015743,65.747993,68.503937,4.2222223,10.5,10.5,1.4403616,0
3,50.984219,70.866112,70.866142,120,11.5,9.5,4.7874918,0
15,44.999985,64.173195,68.110237,3.8974359,,,1.3603189,0
3,49.015743,64.566902,65.748032,71.052635,10.5,9.5,4.2634211,1
9,45.984222,62.20472,64.960632,5.818182,10.5,9.5,1.7609879,0
2,50.984219,72.834625,75.590553,8.8205128,9.5,9.5,2.1770799,0
3,49.999981,70.078728,73.622047,7.2368422,9.5,9.5,1.979185,0
3,47.992119,66.535416,70.078743,5.3513513,11.5,9.5,1.6773491,0
3,49.015743,68.503929,68.897636,6.1538463,10.5,11.5,1.8170773,0
3,47.992119,63.385815,64.566933,8.8031998,10.5,10.5,2.1751153,0
3,44.015713,58.661407,64.960632,5.52,10.5,10.5,1.7083778,0
5,,68.503929,71.653542,60,10.5,9.5,4.0943446,0
,44.015713,,67.322838,2.3809524,,,.86750054,0
,,,63.385826,6.9000001,9.5,9.5,1.9315214,0
4,47.992119,67.3228,69.685036,7.5,10.5,9.5,2.0149031,0
5,49.999981,65.354324,70.472443,12.5,,,2.5257287,0
,42.007851,,62.204723,2.6763637,,,.98445904,1
5,44.015713,60.23621,64.173225,3.6923077,,9.5,1.3062516,0
7,47.007847,,70.078743,5.340909,,,1.6753958,0
7,49.999981,,70.866142,2.7272727,,,1.0033021,0
4,50.984219,69.68502,70.472443,8.9473686,9.5,9.5,2.1913595,0
,45.984222,,68.503937,7.1999998,,,1.974081,0
6,49.999981,66.141708,71.653542,6.7718916,9.5,9.5,1.9127804,0
4,45.984222,61.417301,65.748032,4.2391305,,,1.4443582,0
3,49.015743,70.078728,70.866142,20,11.5,11.5,2.9957323,0
3,49.999981,,72.047241,8.0952377,,,2.0912759,0
4,45.984222,,61.811024,6.3157897,9.5,9.5,1.8430527,1
3,52.007839,,75.984253,8.3999996,11.5,11.5,2.1282318,0
4,45.984222,59.842499,65.748032,5.0042553,,,1.6102886,0
5,44.015713,63.779522,64.960632,6,9.5,9.5,1.7917595,0
3,47.992119,69.68502,71.653542,5.3837838,,,1.6833915,0
3,44.999985,61.811012,66.141731,5.3333335,,,1.6739764,0
3,49.015743,69.291313,70.472443,4.3589745,17,17,1.4722369,0
2,49.999981,70.078728,71.259842,6,,,1.7917595,0
1,53.149582,72.834625,75.984253,4.4000001,9.5,9.5,1.4816046,0
5,49.015743,70.472443,72.047241,7.8545456,11.5,9.5,2.0610924,0
5,49.015743,66.929123,68.110237,8,9.5,9.5,2.0794415,0
3,44.999985,62.992104,67.322838,11.944445,9.5,,2.4802663,0
4,47.007847,,61.811024,9.2105265,12.5,19,2.2203469,1
4,52.992115,73.62204,75.196854,11.472,11.5,19,2.4399092,0
,44.015713,62.20472,64.173225,4.304348,9.5,9.5,1.4596257,0
5,44.015713,,64.960632,7.5,9.5,13.5,2.0149031,0
,49.015743,63.385815,64.173225,6.4571428,9.5,9.5,1.8651869,1
7,47.007847,61.417301,61.811024,4.2583785,9.5,9.5,1.4488884,1
4,45.984222,,59.842518,2.8205128,9.5,9.5,1.0369188,1
6,44.999985,59.448792,60.629921,5.5680003,9.5,9.5,1.717036,1
3,49.999981,70.078728,71.259842,6.2857141,11.5,10.5,1.8382795,0
4,49.999981,66.929123,67.716537,8.666667,10.5,9.5,2.1594844,0
3,49.015743,64.173195,66.141731,5.3333335,9.5,9.5,1.6739764,0
3,49.015743,66.141708,68.897636,5.4761906,9.5,9.5,1.7004097,0
4,47.992119,,64.566933,4.2857141,10.5,10.5,1.4552872,1
5,44.999985,64.173195,68.110237,8.0357141,9.5,9.5,2.0838959,0
6,45.984222,66.535416,67.322838,5.4054055,10.5,9.5,1.6873995,0
8,44.999985,65.747993,66.929131,5.319149,9.5,9.5,1.6713133,0
3,47.992119,70.866112,73.622047,5.25,9.5,9.5,1.658228,0
2,44.015713,59.055119,61.023621,3.3599999,10.5,10.5,1.2119409,1
4,49.015743,,68.110237,7.1351352,,,1.9650311,0
3,50.984219,70.078728,74.803146,5.8378377,9.5,9.5,1.7643604,0
,,,72.047241,8.7647057,,,2.170733,0
4,47.007847,,64.566933,3.6972973,11.5,13.5,1.307602,1
5,47.992119,,68.897636,6.6666665,,,1.89712,0
4,44.999985,,68.110237,6.7666669,9.5,,1.9120086,0
3,50.984219,70.866112,72.440948,6.025641,9.5,9.5,1.7960238,0
4,49.015743,,66.141731,6,9.5,,1.7917595,1
4,47.992119,,67.716537,9.0545454,,,2.2032669,0
,44.015713,58.661407,59.842518,4.3589745,9.5,9.5,1.4722369,1
4,45.984222,62.992104,64.960632,5.25,9.5,9.5,1.658228,0
4,47.992119,63.385815,64.173225,4.1500001,10.5,9.5,1.4231083,1
5,47.992119,,66.929131,4.7948718,,,1.567547,0
4,47.992119,68.897636,71.653542,10.285714,10.5,10.5,2.3307559,0
,50.984219,,74.015747,8.6097565,,,2.1528959,0
3,,,64.173225,5.9459457,13.5,12.5,1.7827096,1
5,50.984219,66.929123,68.503937,8.0586672,11.5,11.5,2.0867481,1
3,44.015713,61.417301,65.354332,3.75,9.5,9.5,1.3217559,0
5,49.015743,66.141708,66.535431,1.302857,,,.26455957,1
4,45.984222,68.110222,68.503937,4.182857,,,1.4309945,0
3,50.984219,70.472443,71.653542,6.6666665,,,1.89712,0
3,47.992119,67.3228,68.110237,4.8974357,10.5,11.5,1.5887117,0
4,47.007847,66.929123,67.716537,6.9767442,,,1.9425824,0
5,49.015743,67.3228,69.685036,7.1288891,,,1.9641554,0
3,,,64.960632,7.058919,,,1.9542919,1
,42.992088,55.511806,66.141731,4.2315788,,,1.4425752,0
3,,,70.472443,6.0444446,,,1.7991396,0
5,49.999981,68.897636,68.897636,11.142858,9.5,12.5,2.4107988,0
7,44.999985,62.992104,66.929131,3.3428571,9.5,9.5,1.2068259,0
7,47.992119,68.110222,71.653542,6,9.5,9.5,1.7917595,0
5,47.992119,69.291313,70.866142,9.7297297,,,2.2751861,0
4,47.007847,60.629921,64.960632,9.3540001,9.5,9.5,2.2358041,1
3,47.007847,62.992104,62.992126,64.944,9.5,9.5,4.1735253,1
5,,65.354324,68.503937,5.8717947,9.5,9.5,1.7701603,0
3,45.984222,59.842499,60.236221,12.828947,10.5,10.5,2.5517042,1
,54.015739,,75.196854,3.9189188,,,1.3658158,1
,47.007847,67.3228,68.503937,5.9230771,,,1.778856,0
3,49.015743,67.3228,69.685036,8.9931431,9.5,19,2.1964624,0
4,49.015743,,73.622047,7.0243902,11.5,11.5,1.9493884,0
2,49.999981,,69.685036,6,,,1.7917595,0
2,47.007847,64.173195,64.566933,3.3333333,11.5,9.5,1.2039728,1
8,50.984219,63.385815,63.779526,6.5142856,6,6,1.8739976,1
3,47.992119,,63.779526,5.0270271,,,1.6148288,1
5,44.999985,62.20472,67.322838,5.0526314,,,1.6199092,0
6,45.984222,60.23621,61.811024,6.8888888,9.5,9.5,1.9299098,1
6,44.999985,64.566902,67.716537,6.6666665,10.5,10.5,1.89712,0
3,47.992119,63.385815,64.566933,5.8399997,9.5,9.5,1.7647307,1
4,54.015739,,74.803146,5.6756759,,,1.7361896,0
8,45.984222,59.842499,70.472443,5.0181818,10.5,9.5,1.6130676,0
5,47.007847,,65.354332,6.7567568,,,1.910543,0
4,52.007839,70.866112,74.015747,5.2127662,,,1.6511106,0
3,47.007847,61.023594,68.503937,4.1346154,10.5,9.5,1.4193944,0
,50.984219,,65.748032,12,,,2.4849067,1
4,49.999981,69.68502,72.047241,7.5,9.5,9.5,2.0149031,0
,47.007847,63.385815,67.716537,11.111111,10.5,11.5,2.4079456,0
5,47.007847,62.598392,62.992126,2.75,9.5,9.5,1.011601,1
4,45.984222,,64.173225,12.366316,,,2.5149763,1
8,47.992119,,63.385826,5.1999998,,,1.6486586,1
4,47.992119,69.68502,70.078743,6.5,9.5,,1.8718022,0
8,49.015743,64.566902,65.354332,5.1282053,9.5,9.5,1.6347557,1
2,,71.259819,73.228348,5.4545455,9.5,9.5,1.6964493,0
3,49.999981,68.897636,72.440948,157.71428,10.5,9.5,5.0607848,0
2,49.015743,68.110222,70.078743,5.189189,9.5,10.5,1.6465774,0
5,39.999992,56.692898,58.661419,5.2972975,10.5,9.5,1.6671968,1
3,47.992119,,66.535431,1.8888888,10.5,9.5,.63598871,1
5,49.999981,67.3228,70.866142,8.8000002,10.5,9.5,2.1747518,0
4,47.992119,68.110222,69.291336,10,9.5,9.5,2.3025851,0
1,49.015743,64.960617,65.354332,5.9459457,9.5,6,1.7827096,1
3,44.999985,60.629921,61.417324,10.105263,9.5,9.5,2.3130565,1
9,47.007847,67.3228,68.503937,5.9459457,11.5,12.5,1.7827096,0
7,50.984219,71.653534,73.228348,8.4252634,9.5,9.5,2.1312346,0
2,49.999981,63.385815,64.566933,6.668108,9.5,9.5,1.8973361,1
,45.984222,,67.716537,4.7111111,,,1.5499238,0
3,49.015743,66.141708,67.716537,9.4736843,11.5,19,2.248518,0
4,47.992119,61.417301,62.204723,5.4761906,10.5,10.5,1.7004097,1
2,49.999981,,72.047241,8.6173334,,,2.1537757,0
3,44.999985,59.448792,59.842518,12.157895,,,2.4979787,1
,44.999985,66.929123,68.897636,3.5526316,9.5,12.5,1.2676886,0
2,52.992115,,76.377953,11.04,,,2.401525,0
3,52.007839,70.866112,73.228348,8.8888893,10.5,10.5,2.1848021,0
,49.015743,66.929123,67.322838,14,,,2.6390574,0
6,44.999985,,61.023621,9.5666666,9.5,9.5,2.2582848,1
4,47.992119,62.992104,63.779526,5.3189192,,,1.6712701,1
4,49.999981,69.291313,69.685036,4,,,1.3862944,0
3,47.992119,66.929123,67.322838,5.8333335,9.5,9.5,1.7635887,1
4,52.007839,68.503929,69.291336,9.3209295,9.5,13.5,2.2322624,1
5,49.999981,,68.110237,9.6000004,10.5,10.5,2.2617631,0
4,47.992119,,64.566933,8.1081085,,,2.0928645,1
4,,64.960617,66.929131,8.1081085,10.5,10.5,2.0928645,1
3,45.984222,64.566902,67.716537,4.4000001,9.5,11.5,1.4816046,0
3,49.999981,62.598392,62.598427,6.3333335,11.5,10.5,1.8458267,1
,,,61.417324,9.7368422,,,2.2759168,1
5,,,65.748032,6.9932432,9.5,9.5,1.9449444,1
4,47.007847,66.929123,66.929131,8.2222223,10.5,9.5,2.1068406,0
10,47.007847,62.20472,63.385826,5.6216216,9.5,9.5,1.7266202,1
7,47.992119,69.291313,70.472443,8.909091,,,2.1870723,0
4,47.007847,66.535416,68.110237,8.5,9.5,9.5,2.1400661,0
,47.007847,66.141708,68.897636,7.6923075,10.5,10.5,2.0402207,0
,47.992119,,71.653542,10.56,,,2.3570733,0
,,62.20472,66.535431,8.2879992,10.5,9.5,2.1148086,0
3,49.999981,,66.141731,6.7368422,,,1.9075913,1
4,47.007847,68.110222,69.685036,4.8000002,9.5,10.5,1.5686159,0
3,47.992119,65.354324,66.929131,8.9743586,,,2.1943715,0
4,47.992119,68.110222,68.897636,8.9473686,11.5,13.5,2.1913595,0
3,45.984222,66.929123,68.897636,6.4000001,9.5,9.5,1.856298,0
,49.999981,67.3228,69.685036,12.307693,11.5,12.5,2.5102246,0
5,47.992119,68.503929,68.897636,4.1538463,9.5,9.5,1.4240347,0
5,,,66.141731,6.7978377,9.5,9.5,1.9166046,1
4,47.007847,66.141708,66.929131,5.1428571,10.5,9.5,1.6376088,0
4,49.999981,70.078728,70.472443,5.5999999,9.5,11.5,1.7227666,0
3,47.992119,64.960617,65.354332,6.2222223,13.5,15,1.8281271,1
6,49.015743,,71.653542,4.090909,,,1.4087672,0
4,,66.929123,67.716537,5.5783782,10.5,10.5,1.7188981,1
6,47.007847,59.842499,61.811024,3.8639998,9.5,12.5,1.3517029,1
3,49.999981,,66.929131,7.5789475,9.5,9.5,2.0253744,1
3,47.007847,62.992104,65.354332,7.6190476,9.5,9.5,2.0306513,1
5,44.999985,64.173195,64.960632,4.0571427,9.5,9.5,1.400479,0
5,,61.023594,66.141731,7,10.5,10.5,1.9459101,0
6,50.984219,,71.653542,5.2999997,,,1.6677067,0
5,49.015743,67.3228,68.110237,6.6666665,9.5,10.5,1.89712,0
3,,,65.354332,20.666666,,,3.028522,1
4,47.992119,67.716507,70.472443,98.914284,9.5,9.5,4.5942535,0
5,50.984219,,66.141731,6.6082349,,,1.8883166,1
4,47.007847,67.716507,70.078743,9.405405,9.5,12.5,2.2412846,0
3,49.015743,67.3228,68.897636,5,9.5,9.5,1.6094379,0
8,47.992119,67.3228,68.897636,2.6086957,9.5,9.5,.95885038,0
9,49.999981,,69.685036,4.8285713,,,1.5745506,0
,,63.385815,64.566933,3.5,,,1.2527629,1
,,68.503929,72.047241,6.5643244,,,1.8816496,0
,50.984219,68.503929,69.685036,3.6821053,9.5,9.5,1.3034847,0
5,46.062958,64.173195,66.141731,6.8442855,9.5,9.5,1.9234141,0
,47.992119,64.173195,64.960632,5.4166665,10.5,10.5,1.6894805,1
,45.984222,61.811012,62.204723,10.277778,9.5,9.5,2.3299839,1
2,49.999981,68.897636,70.078743,2.9027777,9.5,9.5,1.0656681,0
,,,62.598427,5.7894735,,,1.7560414,1
3,,,70.472443,12.162162,10.5,,2.4983296,0
6,47.992119,63.385815,69.685036,4.5,9.5,9.5,1.5040774,0
8,47.992119,66.141708,66.535431,4.7272725,10.5,10.5,1.5533484,0
3,52.007839,,72.834648,6.9473686,,,1.938363,0
3,49.015743,64.960617,66.929131,6.9302325,11.5,10.5,1.9358934,0
4,45.984222,66.141708,72.440948,4,9.5,9.5,1.3862944,0
3,45.984222,64.173195,68.503937,6.6666665,9.5,9.5,1.89712,0
4,45.984222,64.960617,66.535431,8.5714283,9.5,9.5,2.1484344,0
7,44.999985,,64.173225,8.1702127,9.5,9.5,2.1004949,0
4,49.015743,,70.078743,8.1081085,,,2.0928645,0
6,45.984222,63.385815,68.110237,8.5714283,13.5,11.5,2.1484344,0
5,49.999981,67.716507,68.110237,16,,,2.7725887,0
3,49.015743,67.716507,69.291336,12.222222,,,2.5032558,0
6,,,66.141731,3.3428571,9.5,9.5,1.2068259,1
5,52.007839,68.503929,70.866142,9.090909,10.5,10.5,2.2072749,0
9,45.984222,62.20472,62.598427,3,,,1.0986123,1
5,47.007847,,68.110237,6.4864864,9.5,9.5,1.8697211,0
3,,,65.748032,9,,,2.1972246,1
5,,62.992104,66.141731,5.2325583,10.5,9.5,1.6549003,1
4,49.999981,65.747993,67.716537,12.5,,,2.5257287,0
4,47.007847,66.141708,67.322838,13.5,10.5,11.5,2.6026897,0
